instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1500-C,1500.0000,65.5199,,,1.0000,doesnt exist,
ETH-23MAY25-1500-P,1500.0000,65.5199,,,0.8343,doesnt exist,
ETH-23MAY25-2600-P,2600.0000,82.5106,,,1.0000,doesnt exist,
ETH-23MAY25-2600-C,2600.0000,82.5106,,,1.0000,doesnt exist,
ETH-23MAY25-3000-P,3000.0000,107.0695,,,1.0000,doesnt exist,
ETH-23MAY25-3000-C,3000.0000,107.0695,,,1.0000,doesnt exist,
BTC-23MAY25-50000-C,50000.0000,165.2534,,,1.0000,doesnt exist,
BTC-23MAY25-50000-P,50000.0000,165.2534,,,0.5312,doesnt exist,
BTC-23MAY25-200000-C,200000.0000,192.8900,,,1.0000,doesnt exist,
BTC-23MAY25-200000-P,200000.0000,192.8900,,,1.0000,doesnt exist,
