instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,3.0000,0.7614,0.0003,0.2293,0.2265,0.0028
ETH-23MAY25-1400-P,1400.0000,3.0000,-0.2386,0.0003,0.0037,0.0037,0.0000
ETH-23MAY25-1600-C,1600.0000,3.0000,0.6927,0.0003,0.1283,0.1247,0.0036
ETH-23MAY25-1600-P,1600.0000,3.0000,-0.3073,0.0003,0.0130,0.0129,0.0001
ETH-23MAY25-1700-P,1700.0000,3.0000,-0.3411,0.0003,0.0260,0.0261,-0.0001
ETH-23MAY25-1700-C,1700.0000,3.0000,0.6589,0.0003,0.0830,0.0825,0.0005
ETH-23MAY25-1750-P,1750.0000,3.0000,-0.3578,0.0003,0.0363,0.0364,-0.0001
ETH-23MAY25-1750-C,1750.0000,3.0000,0.6422,0.0003,0.0653,0.0649,0.0004
ETH-23MAY25-1800-P,1800.0000,3.0000,-0.3742,0.0003,0.0493,0.0494,-0.0001
ETH-23MAY25-1800-C,1800.0000,3.0000,0.6258,0.0003,0.0503,0.0502,0.0001
ETH-23MAY25-1850-P,1850.0000,3.0000,-0.3905,0.0003,0.0653,0.0652,0.0001
ETH-23MAY25-1850-C,1850.0000,3.0000,0.6095,0.0003,0.0383,0.0382,0.0001
ETH-23MAY25-1900-P,1900.0000,3.0000,-0.4064,0.0003,0.0886,0.0834,0.0052
ETH-23MAY25-1900-C,1900.0000,3.0000,0.5936,0.0003,0.0288,0.0287,0.0001
ETH-23MAY25-1950-P,1950.0000,3.0000,-0.4222,0.0003,0.1128,0.104,0.0088
ETH-23MAY25-1950-C,1950.0000,3.0000,0.5779,0.0003,0.0218,0.0214,0.0004
ETH-23MAY25-2000-P,2000.0000,3.0000,-0.4376,0.0003,0.1331,0.1262,0.0069
ETH-23MAY25-2000-C,2000.0000,3.0000,0.5624,0.0003,0.0163,0.016,0.0003
ETH-23MAY25-2100-C,2100.0000,3.0000,0.5324,0.0003,0.0093,0.009,0.0003
ETH-23MAY25-2100-P,2100.0000,3.0000,-0.4676,0.0003,0.1814,0.1747,0.0067
ETH-23MAY25-2200-C,2200.0000,3.0000,0.5037,0.0003,0.0053,0.0053,-0.0000
ETH-23MAY25-2200-P,2200.0000,3.0000,-0.4963,0.0003,0.2335,0.2265,0.0070
ETH-23MAY25-2400-P,2400.0000,3.0000,-0.5501,0.0003,0.4901,0.3343,0.1558
ETH-23MAY25-2400-C,2400.0000,3.0000,0.4499,0.0003,0.0021,0.0021,-0.0000
BTC-23MAY25-75000-C,75000.0000,3.0000,0.7501,0.0000,0.2227,0.2066,0.0161
BTC-23MAY25-75000-P,75000.0000,3.0000,-0.2498,0.0000,0.0014,0.0012,0.0002
BTC-23MAY25-80000-C,80000.0000,3.0000,0.7172,0.0000,0.1754,0.1547,0.0207
BTC-23MAY25-80000-P,80000.0000,3.0000,-0.2827,0.0000,0.0027,0.0023,0.0004
BTC-23MAY25-85000-P,85000.0000,3.0000,-0.3154,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-85000-C,85000.0000,3.0000,0.6846,0.0000,0.1301,0.1052,0.0249
BTC-23MAY25-88000-C,88000.0000,3.0000,0.6653,0.0000,0.1043,0.0784,0.0259
BTC-23MAY25-88000-P,88000.0000,3.0000,-0.3348,0.0000,0.0110,0.0107,0.0003
BTC-23MAY25-90000-P,90000.0000,3.0000,-0.3476,0.0000,0.0158,0.0159,-0.0001
BTC-23MAY25-90000-C,90000.0000,3.0000,0.6524,0.0000,0.0876,0.0624,0.0252
BTC-23MAY25-91000-P,91000.0000,3.0000,-0.3539,0.0000,0.0195,0.0193,0.0002
BTC-23MAY25-91000-C,91000.0000,3.0000,0.6461,0.0000,0.0579,0.0552,0.0027
BTC-23MAY25-92000-C,92000.0000,3.0000,0.6398,0.0000,0.0498,0.0486,0.0012
BTC-23MAY25-92000-P,92000.0000,3.0000,-0.3602,0.0000,0.0235,0.0232,0.0003
BTC-23MAY25-93000-C,93000.0000,3.0000,0.6334,0.0000,0.0433,0.0425,0.0008
BTC-23MAY25-93000-P,93000.0000,3.0000,-0.3666,0.0000,0.0280,0.0279,0.0001
BTC-23MAY25-94000-C,94000.0000,3.0000,0.6272,0.0000,0.0376,0.0371,0.0005
BTC-23MAY25-94000-P,94000.0000,3.0000,-0.3728,0.0000,0.0330,0.033,-0.0000
BTC-23MAY25-95000-C,95000.0000,3.0000,0.6210,0.0000,0.0323,0.0322,0.0001
BTC-23MAY25-95000-P,95000.0000,3.0000,-0.3790,0.0000,0.0389,0.0386,0.0003
BTC-23MAY25-96000-C,96000.0000,3.0000,0.6148,0.0000,0.0316,0.0277,0.0039
BTC-23MAY25-96000-P,96000.0000,3.0000,-0.3853,0.0000,0.0451,0.0448,0.0003
BTC-23MAY25-97000-P,97000.0000,3.0000,-0.3914,0.0000,0.0518,0.0515,0.0003
BTC-23MAY25-97000-C,97000.0000,3.0000,0.6086,0.0000,0.0239,0.0238,0.0001
BTC-23MAY25-98000-P,98000.0000,3.0000,-0.3975,0.0000,0.0722,0.0587,0.0135
BTC-23MAY25-98000-C,98000.0000,3.0000,0.6024,0.0000,0.0206,0.0204,0.0002
BTC-23MAY25-99000-P,99000.0000,3.0000,-0.4036,0.0000,0.0860,0.0664,0.0196
BTC-23MAY25-99000-C,99000.0000,3.0000,0.5964,0.0000,0.0176,0.0175,0.0001
BTC-23MAY25-100000-C,100000.0000,3.0000,0.5903,0.0000,0.0151,0.0149,0.0002
BTC-23MAY25-100000-P,100000.0000,3.0000,-0.4097,0.0000,0.1124,0.0744,0.0380
BTC-23MAY25-101000-C,101000.0000,3.0000,0.5843,0.0000,0.0129,0.0127,0.0002
BTC-23MAY25-101000-P,101000.0000,3.0000,-0.4157,0.0000,0.1210,0.0828,0.0382
BTC-23MAY25-102000-C,102000.0000,3.0000,0.5783,0.0000,0.0111,0.0109,0.0002
BTC-23MAY25-102000-P,102000.0000,3.0000,-0.4217,0.0000,0.1314,0.0916,0.0398
BTC-23MAY25-103000-P,103000.0000,3.0000,-0.4276,0.0000,0.1419,0.1005,0.0414
BTC-23MAY25-103000-C,103000.0000,3.0000,0.5724,0.0000,0.0093,0.0092,0.0001
BTC-23MAY25-104000-P,104000.0000,3.0000,-0.4334,0.0000,0.1507,0.1097,0.0410
BTC-23MAY25-104000-C,104000.0000,3.0000,0.5666,0.0000,0.0080,0.0079,0.0001
BTC-23MAY25-105000-P,105000.0000,3.0000,-0.4394,0.0000,0.1615,0.1192,0.0423
BTC-23MAY25-105000-C,105000.0000,3.0000,0.5607,0.0000,0.0068,0.0067,0.0001
BTC-23MAY25-106000-C,106000.0000,3.0000,0.5548,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-106000-P,106000.0000,3.0000,-0.4452,0.0000,0.1720,0.1288,0.0432
BTC-23MAY25-108000-P,108000.0000,3.0000,-0.4566,0.0000,0.1929,0.1485,0.0444
BTC-23MAY25-108000-C,108000.0000,3.0000,0.5434,0.0000,0.0055,0.0043,0.0012
BTC-23MAY25-110000-C,110000.0000,3.0000,0.5320,0.0000,0.0043,0.0032,0.0011
BTC-23MAY25-110000-P,110000.0000,3.0000,-0.4680,0.0000,0.2134,0.1686,0.0448
BTC-23MAY25-115000-C,115000.0000,3.0000,0.5046,0.0000,0.0022,0.0017,0.0005
BTC-23MAY25-115000-P,115000.0000,3.0000,-0.4954,0.0000,0.2649,0.2201,0.0448
BTC-23MAY25-120000-C,120000.0000,3.0000,0.4783,0.0000,0.0010,0.001,0.0000
BTC-23MAY25-120000-P,120000.0000,3.0000,-0.5218,0.0000,0.3167,0.2724,0.0443
BTC-23MAY25-125000-C,125000.0000,3.0000,0.4531,0.0000,0.0007,0.0006,0.0001
BTC-23MAY25-125000-P,125000.0000,3.0000,-0.5470,0.0000,0.3686,0.325,0.0436
BTC-23MAY25-130000-C,130000.0000,3.0000,0.4291,0.0000,0.0005,0.0004,0.0001
BTC-23MAY25-130000-P,130000.0000,3.0000,-0.5710,0.0000,0.4208,0.3778,0.0430
BTC-23MAY25-135000-C,135000.0000,3.0000,0.4062,0.0000,0.0003,0.0003,0.0000
BTC-23MAY25-135000-P,135000.0000,3.0000,-0.5938,0.0000,0.5693,0.4306,0.1387
