instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,3.0000,0.7615,0.0003,0.2293,0.2267,0.0026
ETH-23MAY25-1400-P,1400.0000,3.0000,-0.2385,0.0003,0.0037,0.0036,0.0001
ETH-23MAY25-1600-C,1600.0000,3.0000,0.6928,0.0003,0.1283,0.1249,0.0034
ETH-23MAY25-1600-P,1600.0000,3.0000,-0.3072,0.0003,0.0130,0.0128,0.0002
ETH-23MAY25-1700-P,1700.0000,3.0000,-0.3410,0.0003,0.0260,0.0261,-0.0001
ETH-23MAY25-1700-C,1700.0000,3.0000,0.6590,0.0003,0.0830,0.0826,0.0004
ETH-23MAY25-1750-P,1750.0000,3.0000,-0.3577,0.0003,0.0363,0.0363,-0.0000
ETH-23MAY25-1750-C,1750.0000,3.0000,0.6423,0.0003,0.0655,0.0651,0.0004
ETH-23MAY25-1800-P,1800.0000,3.0000,-0.3741,0.0003,0.0490,0.0492,-0.0002
ETH-23MAY25-1800-C,1800.0000,3.0000,0.6259,0.0003,0.0503,0.0503,-0.0000
ETH-23MAY25-1850-P,1850.0000,3.0000,-0.3903,0.0003,0.0650,0.065,0.0000
ETH-23MAY25-1850-C,1850.0000,3.0000,0.6097,0.0003,0.0383,0.0383,-0.0000
ETH-23MAY25-1900-P,1900.0000,3.0000,-0.4063,0.0003,0.0897,0.0832,0.0065
ETH-23MAY25-1900-C,1900.0000,3.0000,0.5937,0.0003,0.0288,0.0288,-0.0000
ETH-23MAY25-1950-P,1950.0000,3.0000,-0.4220,0.0003,0.1126,0.1037,0.0089
ETH-23MAY25-1950-C,1950.0000,3.0000,0.5780,0.0003,0.0218,0.0215,0.0003
ETH-23MAY25-2000-P,2000.0000,3.0000,-0.4374,0.0003,0.1331,0.126,0.0071
ETH-23MAY25-2000-C,2000.0000,3.0000,0.5627,0.0003,0.0160,0.0161,-0.0001
ETH-23MAY25-2100-C,2100.0000,3.0000,0.5328,0.0003,0.0090,0.0091,-0.0001
ETH-23MAY25-2100-P,2100.0000,3.0000,-0.4674,0.0003,0.1814,0.1745,0.0069
ETH-23MAY25-2200-C,2200.0000,3.0000,0.5038,0.0003,0.0053,0.0053,-0.0000
ETH-23MAY25-2200-P,2200.0000,3.0000,-0.4962,0.0003,0.2335,0.2262,0.0073
ETH-23MAY25-2400-P,2400.0000,3.0000,-0.5499,0.0003,0.4899,0.334,0.1559
ETH-23MAY25-2400-C,2400.0000,3.0000,0.4502,0.0003,0.0021,0.0021,-0.0000
BTC-23MAY25-75000-C,75000.0000,3.0000,0.7502,0.0000,0.2227,0.2067,0.0160
BTC-23MAY25-75000-P,75000.0000,3.0000,-0.2498,0.0000,0.0014,0.0012,0.0002
BTC-23MAY25-80000-C,80000.0000,3.0000,0.7173,0.0000,0.1754,0.1548,0.0206
BTC-23MAY25-80000-P,80000.0000,3.0000,-0.2826,0.0000,0.0027,0.0022,0.0005
BTC-23MAY25-85000-P,85000.0000,3.0000,-0.3153,0.0000,0.0058,0.0057,0.0001
BTC-23MAY25-85000-C,85000.0000,3.0000,0.6847,0.0000,0.1301,0.1053,0.0248
BTC-23MAY25-88000-C,88000.0000,3.0000,0.6653,0.0000,0.1038,0.0785,0.0253
BTC-23MAY25-88000-P,88000.0000,3.0000,-0.3346,0.0000,0.0106,0.0106,-0.0000
BTC-23MAY25-90000-P,90000.0000,3.0000,-0.3475,0.0000,0.0158,0.0159,-0.0001
BTC-23MAY25-90000-C,90000.0000,3.0000,0.6525,0.0000,0.0876,0.0625,0.0251
BTC-23MAY25-91000-P,91000.0000,3.0000,-0.3538,0.0000,0.0195,0.0193,0.0002
BTC-23MAY25-91000-C,91000.0000,3.0000,0.6461,0.0000,0.0581,0.0553,0.0028
BTC-23MAY25-92000-C,92000.0000,3.0000,0.6398,0.0000,0.0496,0.0486,0.0010
BTC-23MAY25-92000-P,92000.0000,3.0000,-0.3602,0.0000,0.0246,0.0232,0.0014
BTC-23MAY25-93000-C,93000.0000,3.0000,0.6336,0.0000,0.0433,0.0427,0.0006
BTC-23MAY25-93000-P,93000.0000,3.0000,-0.3664,0.0000,0.0276,0.0277,-0.0001
BTC-23MAY25-94000-C,94000.0000,3.0000,0.6273,0.0000,0.0376,0.0372,0.0004
BTC-23MAY25-94000-P,94000.0000,3.0000,-0.3727,0.0000,0.0342,0.0329,0.0013
BTC-23MAY25-95000-C,95000.0000,3.0000,0.6211,0.0000,0.0325,0.0323,0.0002
BTC-23MAY25-95000-P,95000.0000,3.0000,-0.3789,0.0000,0.0390,0.0385,0.0005
BTC-23MAY25-96000-C,96000.0000,3.0000,0.6149,0.0000,0.0279,0.0278,0.0001
BTC-23MAY25-96000-P,96000.0000,3.0000,-0.3852,0.0000,0.0452,0.0447,0.0005
BTC-23MAY25-97000-P,97000.0000,3.0000,-0.3913,0.0000,0.0518,0.0514,0.0004
BTC-23MAY25-97000-C,97000.0000,3.0000,0.6087,0.0000,0.0241,0.0239,0.0002
BTC-23MAY25-98000-P,98000.0000,3.0000,-0.3974,0.0000,0.0722,0.0586,0.0136
BTC-23MAY25-98000-C,98000.0000,3.0000,0.6026,0.0000,0.0206,0.0205,0.0001
BTC-23MAY25-99000-P,99000.0000,3.0000,-0.4036,0.0000,0.0860,0.0663,0.0197
BTC-23MAY25-99000-C,99000.0000,3.0000,0.5965,0.0000,0.0176,0.0175,0.0001
BTC-23MAY25-100000-C,100000.0000,3.0000,0.5904,0.0000,0.0151,0.015,0.0001
BTC-23MAY25-100000-P,100000.0000,3.0000,-0.4096,0.0000,0.1120,0.0743,0.0377
BTC-23MAY25-101000-C,101000.0000,3.0000,0.5844,0.0000,0.0128,0.0128,0.0000
BTC-23MAY25-101000-P,101000.0000,3.0000,-0.4156,0.0000,0.1201,0.0827,0.0374
BTC-23MAY25-102000-C,102000.0000,3.0000,0.5784,0.0000,0.0111,0.0109,0.0002
BTC-23MAY25-102000-P,102000.0000,3.0000,-0.4216,0.0000,0.1305,0.0915,0.0390
BTC-23MAY25-103000-P,103000.0000,3.0000,-0.4275,0.0000,0.1419,0.1004,0.0415
BTC-23MAY25-103000-C,103000.0000,3.0000,0.5725,0.0000,0.0093,0.0093,0.0000
BTC-23MAY25-104000-P,104000.0000,3.0000,-0.4334,0.0000,0.1507,0.1096,0.0411
BTC-23MAY25-104000-C,104000.0000,3.0000,0.5666,0.0000,0.0080,0.0079,0.0001
BTC-23MAY25-105000-P,105000.0000,3.0000,-0.4393,0.0000,0.1615,0.1191,0.0424
BTC-23MAY25-105000-C,105000.0000,3.0000,0.5608,0.0000,0.0068,0.0068,0.0000
BTC-23MAY25-106000-C,106000.0000,3.0000,0.5550,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-106000-P,106000.0000,3.0000,-0.4451,0.0000,0.1720,0.1287,0.0433
BTC-23MAY25-108000-P,108000.0000,3.0000,-0.4565,0.0000,0.1929,0.1483,0.0446
